Tanggal,Rata-rata Harga
2024/09/29,Rp 15.527
2024/09/30,Rp 15.518
2024/10/02,Rp 15.527
2024/10/03,Rp 15.514
2024/10/04,Rp 15.527
2024/10/05,Rp 15.527
2024/10/06,Rp 15.527
2024/10/07,Rp 15.532
2024/10/08,Rp 15.536
2024/10/09,Rp 16.873
2024/10/10,Rp 16.623
2024/10/11,Rp 16.767
2024/10/12,Rp 16.767
2024/10/13,Rp 16.767
2024/10/14,Rp 16.729
2024/10/15,Rp 16.895
2024/10/16,Rp 16.708
2024/10/17,Rp 16.782
2024/10/18,Rp 16.729
2024/10/19,Rp 16.729
2024/10/20,Rp 16.729
2024/10/21,Rp 16.779
2024/10/22,Rp 16.768
2024/10/23,Rp 16.738
2024/10/24,Rp 16.714
2024/10/25,Rp 16.738
2024/10/26,Rp 16.738
2024/10/27,Rp 16.738
2024/10/28,Rp 16.712
2024/10/29,Rp 16.738
2024/10/30,Rp 16.814
2024/10/31,Rp 16.704
2024/11/01,Rp 16.675
2024/11/02,Rp 16.675
2024/11/03,Rp 16.675
2024/11/04,Rp 16.667
2024/11/05,Rp 16.662
2024/11/06,Rp 16.768
2024/11/07,Rp 16.679
2024/11/08,Rp 16.559
2024/11/09,Rp 16.559
2024/11/10,Rp 16.559
2024/11/11,Rp 16.462
2024/11/12,Rp 16.442
2024/11/13,Rp 16.646
2024/11/14,Rp 16.454
2024/11/15,Rp 16.500
2024/11/16,Rp 16.832
2024/11/17,Rp 16.832
2024/11/18,Rp 16.673
2024/11/19,Rp 16.605
2024/11/20,Rp 16.282
2024/11/21,Rp 16.450
2024/11/22,Rp 16.450
2024/11/23,Rp 16.450
2024/11/24,Rp 16.450
2024/11/25,Rp 16.514
2024/11/26,Rp 16.421
2024/11/27,Rp 15.905
2024/11/28,Rp 15.218
2024/11/29,Rp 15.223
2024/11/30,Rp 15.223
2024/12/02,Rp 15.245
2024/12/03,Rp 15.227
2024/12/04,Rp 15.227
2024/12/05,Rp 15.227
2024/12/06,Rp 15.245
2024/12/07,Rp 15.245
2024/12/08,Rp 15.245
2024/12/09,Rp 15.255
2024/12/10,Rp 15.264
2024/12/11,Rp 15.264
2024/12/12,Rp 15.245
2024/12/13,Rp 15.255
2024/12/14,Rp 15.255
2024/12/15,Rp 15.255
2024/12/16,Rp 15.325
2024/12/17,Rp 15.259
2024/12/18,Rp 15.373
2024/12/19,Rp 15.321
2024/12/20,Rp 15.250
2024/12/21,Rp 15.250
2024/12/22,Rp 15.250
2024/12/23,Rp 15.250
2024/12/24,Rp 15.250
2024/12/25,Rp 15.425
2024/12/26,Rp 15.425
2024/12/27,Rp 15.321
2024/12/28,Rp 15.321
2024/12/29,Rp 15.321
2024/12/30,Rp 15.325
2024/12/31,Rp 15.325
2025/01/01,Rp 15.533
2025/01/02,Rp 15.333
2025/01/03,Rp 15.329
2025/01/04,Rp 15.329
2025/01/05,Rp 15.329
2025/01/06,Rp 15.346
2025/01/07,Rp 15.371
2025/01/08,Rp 15.383
2025/01/09,Rp 15.371
2025/01/10,Rp 15.371
2025/01/11,Rp 15.423
2025/01/12,Rp 15.423
2025/01/13,Rp 15.423
2025/01/14,Rp 15.423
2025/01/15,Rp 15.423
2025/01/16,Rp 15.423
2025/01/17,Rp 15.441
2025/01/20,Rp 14.009
2025/01/21,Rp 16.645
2025/01/22,Rp 16.627
2025/01/23,Rp 16.627
2025/01/24,Rp 16.627
2025/01/27,Rp 14.018
2025/01/28,Rp 16.386
2025/01/29,Rp 16.386
2025/01/30,Rp 16.379
2025/01/31,Rp 16.379
2025/02/01,Rp 16.627
2025/02/02,Rp 16.627
2025/02/03,Rp 16.582
2025/02/04,Rp 16.618
2025/02/05,Rp 16.623
2025/02/06,Rp 16.614
2025/02/07,Rp 16.464
2025/02/08,Rp 16.464
2025/02/09,Rp 16.464
2025/02/10,Rp 16.538
2025/02/11,Rp 15.932
2025/02/12,Rp 15.423
2025/02/13,Rp 15.459
2025/02/14,Rp 15.427
2025/02/15,Rp 15.427
2025/02/16,Rp 15.427
2025/02/17,Rp 15.450
2025/02/18,Rp 15.586
2025/02/19,Rp 15.477
2025/02/20,Rp 15.445
2025/02/21,Rp 15.582
2025/02/22,Rp 15.582
2025/02/23,Rp 15.582
2025/02/24,Rp 15.391
2025/02/25,Rp 15.445
2025/02/26,Rp 16.527
2025/02/27,Rp 16.550
2025/02/28,Rp 16.518
2025/03/02,Rp 16.518
2025/03/03,Rp 16.550
2025/03/04,Rp 16.546
2025/03/05,Rp 16.525
2025/03/06,Rp 16.550
2025/03/07,Rp 16.558
2025/03/08,Rp 16.558
2025/03/09,Rp 16.558
2025/03/10,Rp 16.627
2025/03/11,Rp 16.514
2025/03/12,Rp 16.614
2025/03/13,Rp 16.568
2025/03/14,Rp 16.418
2025/03/15,Rp 16.418
2025/03/16,Rp 16.418
2025/03/17,Rp 16.379
2025/03/18,Rp 16.362
2025/03/19,Rp 16.362
2025/03/20,Rp 16.446
2025/03/21,Rp 16.429
2025/03/22,Rp 16.429
2025/03/23,Rp 16.429
2025/03/24,Rp 16.438
2025/03/25,Rp 16.438
2025/03/26,Rp 16.442
2025/03/27,Rp 16.562
2025/03/28,Rp 16.427
2025/03/29,Rp 16.427
2025/03/30,Rp 16.427
2025/03/31,Rp 16.373
2025/04/01,Rp 16.373
2025/04/02,Rp 16.382
2025/04/03,Rp 16.382
2025/04/04,Rp 16.382
2025/04/05,Rp 16.382
2025/04/06,Rp 16.382
2025/04/07,Rp 16.386
2025/04/08,Rp 16.454
2025/04/09,Rp 16.450
2025/04/10,Rp 16.421
2025/04/11,Rp 16.550
2025/04/12,Rp 16.550
2025/04/13,Rp 16.655
2025/04/14,Rp 16.658
2025/04/15,Rp 16.658
2025/04/16,Rp 16.655
2025/04/17,Rp 16.692
2025/04/18,Rp 16.445
2025/04/19,Rp 16.445
2025/04/20,Rp 16.445
2025/04/21,Rp 16.238
2025/04/22,Rp 16.238
2025/04/23,Rp 16.159
2025/04/24,Rp 16.164
2025/04/25,Rp 16.159
2025/04/26,Rp 16.159
2025/04/27,Rp 16.159
2025/04/28,Rp 16.150
2025/04/29,Rp 16.155
2025/04/30,Rp 16.159
